error,count
In-memory buffer limit exceeded,1
checkForCorrectIndex(resolve),1413
No changes,1976
"crissCrossMerge_checkOtherFiles(strategiesUnderTest[0], indexStates[2], worktreeStates[4])",1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_1617448370823958062&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_8672899723079514604&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_841776220456167467&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_5838948685029247583&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_8331254441569966255&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_5521023719021659425&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_1303986158343478650&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_3291653469943132805&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_6941961572072186228&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_5476620324576135295&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_1673129431134120827&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_8473072576412763388&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_4454932758699110875&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_2832240045875473939&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_5430009424709762623&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_4410136873186633204&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_6210350785949094700&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_3720773962460411571&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_6901062906496314228&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_5559231642457327413&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_6491971750726082234&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_7898388060603650881&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_7935756401135869858&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_8559365493974737178&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_3200131395740779979&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_1276955048324468048&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_7027274034683022639&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_1782127072914779382&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_5814585930899121979&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_4303418498429033925&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_3518909717914109114&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_9106235484781417499&#x27; on file &#x27;src/a.txt&#x27; failed,1
Execution of filter command &#x27;sh /home/bugs/projects/jgit/org.eclipse.jgit.test/target/AddCommandTest_2581029371644897296&#x27; on file &#x27;src/a.txt&#x27; failed,1
